OldDamAssetId,RunnerId,NewDamAssetId
2323903,5319567,5319567rid
2323902,5319566,5319566rid
2323901,5319565,5319565rid
2323900,5319564,5319564rid
2323899,5319563,5319563rid
2323898,5319562,5319562rid
2323897,5319561,5319561rid
2323896,5319560,5319560rid
2322253,5319559,5319559rid
2322252,5319558,5319558rid
2322251,5319557,5319557rid
2322247,5319556,5319556rid
2322246,5319555,5319555rid
2322244,5319554,5319554rid
2322243,5319553,5319553rid
2322242,5319552,5319552rid
2322241,5319551,5319551rid
2321633,5319550,5319550rid
2321631,5319549,5319549rid
2321630,5319548,5319548rid
2321629,5319547,5319547rid
2321628,5319546,5319546rid
2321627,5319545,5319545rid
2321626,5319544,5319544rid
2321625,5319543,5319543rid
2321624,5319542,5319542rid
2321622,5319541,5319541rid
2321621,5319540,5319540rid
2321620,5319539,5319539rid
2321619,5319538,5319538rid
2321618,5319537,5319537rid
2321617,5319536,5319536rid
2321616,5319535,5319535rid
2321615,5319534,5319534rid
2321614,5319533,5319533rid
2321612,5319532,5319532rid
2321611,5319531,5319531rid
2321609,5319530,5319530rid
2321608,5319529,5319529rid
2321607,5319528,5319528rid
2321606,5319527,5319527rid
